symbol,entry_date,src,net_pnl_pct,tp,sl,v23_weight_v2,v23_flags_v2
688093.SH,20240111,EVENT,-2.3891,16.82,14.838,0.1584,s1v2_CHoCH↓;s17;s5;s6x3;s14
600703.SH,20240112,EVENT,-1.6597,13.912,12.877,0.396,s17;s5;s6x3;s14
688257.SH,20240112,EVENT,-4.8923,8.798,8.053,0.0202,s1v2_CHoCH↑;s7v2_up;s19;s10_in_ob;s5;s6x3;s14
600487.SH,20240117,EVENT,-4.2931,11.498,10.035,0.18,s15;s5;s6x3;s14
603822.SH,20240117,EVENT,-2.1077,28.378,25.862,0.0347,s24_eql_risk;s17;s5;s6x1;s14
603882.SH,20240126,EVENT,12.6687,60.55,46.627,1.32,s17;s6x3
002859.SZ,20240129,EVENT,-3.7899,24.467,20.297,0.36,s5;s6x3;s14
300148.SZ,20240129,EVENT,-5.783,3.95,3.429,0.264,s17;s10_in_ob;s5;s14
603727.SH,20240129,EVENT,-3.8327,12.486,11.152,0.15,s15;s5;s14
301265.SZ,20240130,EVENT,-6.9422,10.312,8.624,0.385,s17;s6x1;s14
001256.SZ,20240131,EVENT,-6.6015,18.8,14.521,0.35,s6x1;s14
002148.SZ,20240131,EVENT,-6.3099,6.55,4.871,0.396,s17;s5;s6x3;s14
600572.SH,20240131,EVENT,-8.8383,5.078,3.697,0.6,s6x3;s14
300515.SZ,20240102,EVENT,-0.5667,10.916,10.23,0.33,s17;s5;s14
688093.SH,20240102,EVENT,-8.0492,16.76,15.42,0.0196,s1v2_CHoCH↓;s20;s15;s10_in_ob;s6x1;s14
300097.SZ,20240104,EVENT,-8.4106,13.91,8.149,0.28,s1v2_CHoCH↓;s6x1
603156.SH,20240104,EVENT,7.0665,21.052,14.926,1.0,none
688093.SH,20240104,EVENT,-9.5995,16.76,14.838,0.07,s1v2_CHoCH↓;s20;s15
002385.SZ,20240105,EVENT,-2.2659,7.042,5.549,0.1344,s1v2_CHoCH↓;s10_in_ob;s5;s6x1
600433.SH,20240105,EVENT,-6.5504,3.53,3.196,0.196,s15;s9_bsl_tight;s10_in_ob;s6x1
603156.SH,20240108,EVENT,0.9989,21.052,14.928,0.48,s10_in_ob;s6x3;s14
603258.SH,20240108,EVENT,-12.006,27.815,19.671,0.24,s1v2_CHoCH↓;s6x3;s14
603888.SH,20240108,EVENT,-4.4324,21.288,15.58,0.0924,s1v2_CHoCH↓;s17;s5;s6x1;s14
300943.SZ,20240110,EVENT,0.5966,14.17,12.56,0.0252,s1v2_CHoCH↑;s7v2_up;s19;s8_sweep_bear;s6x3;s14
301201.SZ,20240110,EVENT,-0.4318,26.582,23.398,0.231,s17;s5;s6x1;s14
000498.SZ,20240115,EVENT,-1.1433,5.202,4.807,0.66,s17;s5
300699.SZ,20240115,EVENT,-15.5158,26.342,20.717,0.056,s1v2_CHoCH↑;s7v2_up;s19;s10_in_ob
688326.SH,20240115,EVENT,-1.9777,132.72,88.812,0.72,s5;s6x3
688819.SH,20240117,EVENT,-6.869,26.752,24.046,0.1225,s15;s12_in_ote;s6x1;s14
002555.SZ,20240119,EVENT,-8.5328,22.567,14.427,0.168,s1v2_CHoCH↓;s12_in_ote;s6x3;s14
600487.SH,20240122,EVENT,-4.3172,11.498,10.05,0.2772,s17;s12_in_ote;s5;s6x3;s14
000661.SZ,20240124,EVENT,-2.0054,157.829,111.569,0.3,s5;s14
300126.SZ,20240130,EVENT,-8.2385,7.61,5.546,0.2,s1v2_CHoCH↓;s14
002166.SZ,20240131,EVENT,-4.6405,8.09,6.268,0.33,s17;s5;s14
300888.SZ,20240131,EVENT,-10.8532,37.229,30.903,0.0792,s1v2_CHoCH↓;s17;s8_sweep_bear;s5;s14
601600.SH,20240131,EVENT,-0.5276,5.7,4.801,0.049,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight;s6x1;s14
688508.SH,20240131,EVENT,-4.3168,53.161,34.439,0.36,s5;s6x3;s14
603977_SH.SH,20240109,CONT,-14.6161,,,0.0225,s7v2_up;s22;s5;s14
002004.SZ,20240104,EVENT,-5.1924,4.98,4.503,0.126,s15;s9_bsl_tight;s4;s5;s6x3
000534.SZ,20240105,EVENT,-8.128,14.021,11.472,0.1078,s1v2_CHoCH↓;s17;s12_in_ote;s4;s6x1
